% Model:              FullBeamSimulationK2RTK66.mph
% Version:            COMSOL 5.3.1.201
% Date:               Apr 20 2020, 13:16
% Table:              Table 1 - Global Evaluation 1 ((Torque-stiffk56*aveDW)/(theta*pi/180))
% Torque (N*m)           (Torque-stiffk56*aveDW)/(theta*pi/180) (N*m/rad)
-0.301                   33.61255814575559
-0.291                   32.9052647649798
-0.28099999999999997     32.25950013437698
-0.271                   31.64692939063732
-0.261                   31.081678809445574
-0.251                   30.42291856299939
-0.241                   29.881440155963407
-0.23099999999999998     29.29193538791329
-0.22099999999999997     28.68428189051282
-0.211                   28.202942106271117
-0.20099999999999998     27.618153517954717
-0.191                   27.109963725038433
-0.181                   26.5692626505554
-0.17099999999999999     26.05009184484565
-0.16099999999999998     25.535092534399563
-0.151                   24.99875110979304
-0.141                   23.989058837907415
-0.13099999999999998     24.451799538091578
-0.121                   26.424180022689516
-0.11099999999999999     25.90570224122776
-0.10099999999999998     25.685732127239728
-0.091                   25.53701861614863
-0.08099999999999999     25.299189157854382
-0.07099999999999998     25.283708193014437
-0.061                   25.17881096450425
-0.05099999999999999     24.92759065547695
-0.04099999999999998     25.0094335235714
-0.030999999999999972    24.958003920314646
-0.020999999999999963    24.92220483896636
-0.01100000000000001     24.892933044909636
-0.0010000000000000009   24.881533166991463
0.009000000000000008     24.906853252240214
0.019000000000000017     24.932149527315033
0.029000000000000026     24.963608028367826
0.039000000000000035     25.117189821358615
0.049000000000000044     25.08957932295854
0.059                    25.1775110326653
0.069                    25.28110979882977
0.07900000000000001      25.401918716371025
0.08900000000000002      25.65063817795832
0.09900000000000003      25.680640146425066
0.10900000000000004      25.915274989479858
0.119                    26.80295535402115
0.129                    25.740115458216465
0.139                    23.741686733163505
0.14900000000000002      25.098577254479924
0.15900000000000003      25.4557564517419
0.16900000000000004      25.967362196813543
0.179                    26.52268940365464
0.189                    27.04652291207122
0.199                    27.59364609804413
0.20900000000000002      28.136275373585093
0.21900000000000003      28.920920143918607
0.22900000000000004      29.267007902401275
0.23900000000000005      29.834466493066998
0.24900000000000005      30.481836892453767
0.25900000000000006      31.03931246383232
0.2690000000000001       31.614542709908033
0.27899999999999997      32.26340388111577
0.289                    32.84367366870545
0.299                    33.45649932496998
